Damage,AC_Mass,Num_ENGS,Month,Year,Day,Night,Dawn,Height,Speed,Sky_NoCloud,Sky_Overcast,Fog,Rain,Seen_1,Seen_2to10,Seen_11to100,Struck_1,Struck_2to10,Struck_11to100,Size_Small,Size_Medium
0,4,2,9,2018,1,0,0,700,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2018,0,1,0,1200,150,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,9,2018,1,0,0,400,175,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2018,0,1,0,0,120,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2018,1,0,0,500,148,0,1,0,0,1,0,0,1,0,0,1,0
0,2,2,8,2018,0,1,0,2,104,1,0,0,0,0,1,0,1,0,0,1,0
0,3,2,8,2018,1,0,0,2000,200,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,500,136,0,0,0,0,0,1,0,1,0,0,1,0
0,1,2,8,2018,0,0,0,0,100,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,8,2018,0,1,0,50,135,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2018,0,1,0,5,123,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,0,0,1,350,138,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,300,140,0,0,0,0,1,0,0,1,0,0,1,0
0,3,2,8,2018,1,0,0,0,125,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,8,2018,1,0,0,200,125,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,5,142,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,300,145,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,1200,143,0,0,0,0,0,1,0,1,0,0,1,0
0,1,1,7,2018,1,0,0,400,90,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,0,140,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,400,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,0,,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2018,1,0,0,0,90,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,10,146,1,0,0,0,1,0,0,1,0,0,1,0
0,2,1,5,2018,1,0,0,,,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,4,2018,1,0,0,0,100,0,0,0,0,1,0,0,1,0,0,0,1
1,4,2,4,2018,0,1,0,2000,200,0,0,0,0,1,0,0,1,0,0,0,0
1,1,1,3,2018,0,1,0,0,45,1,0,0,0,1,0,0,1,0,0,0,0
1,4,2,3,2018,1,0,0,2000,210,0,0,0,0,0,0,1,1,0,0,0,0
0,4,2,3,2018,1,0,0,200,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2017,1,0,0,50,180,1,0,0,0,0,0,1,1,0,0,1,0
0,4,2,11,2017,1,0,0,3000,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2017,0,1,0,500,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2017,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2017,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2017,1,0,0,100,135,1,0,0,0,0,1,0,0,1,0,1,0
1,3,2,8,2017,1,0,0,0,56,1,0,0,0,0,1,0,0,1,0,0,0
0,4,2,7,2017,0,0,0,5,140,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2017,1,0,0,15,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2017,1,0,0,0,110,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2017,1,0,0,50,138,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2017,1,0,0,2500,210,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2017,1,0,0,0,120,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2017,1,0,0,300,160,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2017,1,0,0,10,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2017,1,0,0,2000,200,1,0,0,0,0,0,1,1,0,0,1,0
0,4,2,5,2017,0,1,0,1800,160,1,0,0,0,1,0,0,1,0,0,0,1
0,1,1,4,2017,1,0,0,1000,105,1,0,0,0,0,1,0,1,0,0,0,1
0,4,2,3,2017,0,1,0,2000,170,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,12,2016,1,0,0,0,150,0,1,1,0,0,1,0,0,1,0,1,0
0,4,2,12,2016,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2016,0,1,0,1500,140,1,0,0,0,0,1,0,1,0,0,0,1
0,4,2,10,2016,0,0,0,3500,190,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2016,1,0,0,50,145,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2016,0,1,0,2500,230,0,0,0,0,1,0,0,1,0,0,1,0
1,3,2,10,2016,1,0,0,990,170,0,0,0,0,0,1,0,1,0,0,0,0
1,4,2,9,2016,1,0,0,200,,0,0,0,0,0,1,0,1,0,0,0,0
0,4,2,9,2016,1,0,0,2300,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,0,1,0,6000,250,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2016,1,0,0,1500,160,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,1,0,0,400,147,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,0,0,0,5,145,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2016,1,0,0,300,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,0,0,0,0,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,10,130,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,0,,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,7,2016,1,0,0,,,0,0,0,0,0,0,1,0,0,1,1,0
0,4,2,7,2016,1,0,0,10,125,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,0,120,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,300,160,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2016,1,0,0,,,1,0,0,0,1,0,0,0,1,0,1,0
0,1,1,6,2016,1,0,0,0,10,1,0,0,0,0,1,0,0,1,0,0,0
0,4,2,6,2016,1,0,0,50,170,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2016,1,0,0,,150,0,1,0,1,1,0,0,1,0,0,1,0
0,4,2,6,2016,1,0,0,1,100,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2016,1,0,0,100,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2016,0,0,1,50,150,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2016,0,0,0,200,170,0,0,0,0,0,1,0,1,0,0,1,0
0,4,3,5,2016,1,0,0,0,110,0,1,1,0,1,0,0,1,0,0,0,1
0,4,2,5,2016,1,0,0,50,150,0,0,0,0,0,1,0,1,0,0,1,0
0,4,3,4,2016,0,1,0,800,210,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,4,2016,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2016,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,2,2016,1,0,0,0,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2015,0,0,1,400,,1,0,0,0,0,0,1,0,0,1,1,0
0,4,2,11,2015,1,0,0,20,130,0,1,0,1,0,1,0,0,1,0,1,0
0,4,2,11,2015,1,0,0,500,130,1,0,0,0,1,0,0,1,0,0,1,0
0,2,2,10,2015,0,1,0,1000,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2015,1,0,0,0,70,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2015,0,1,0,3000,170,1,0,0,0,1,0,0,1,0,0,1,0
1,2,2,10,2015,1,0,0,20,80,1,0,0,0,1,0,0,1,0,0,0,0
0,4,2,10,2015,1,0,0,500,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2015,1,0,0,400,170,0,1,0,1,1,0,0,1,0,0,0,0
0,4,2,10,2015,1,0,0,100,150,0,0,0,1,0,1,0,1,0,0,1,0
0,4,2,9,2015,1,0,0,2000,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2015,1,0,0,400,131,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,9,2015,1,0,0,300,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2015,0,1,0,7000,250,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2015,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
1,2,2,8,2015,1,0,0,150,150,0,0,0,0,0,0,0,0,0,0,1,0
0,4,2,8,2015,0,1,0,100,,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2015,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2015,1,0,0,,,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2015,1,0,0,100,140,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,0,120,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,0,,0,0,0,1,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,0,1,0,50,135,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,0,,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,7,2015,1,0,0,400,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,150,175,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,0,110,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2015,1,0,0,10,145,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,0,100,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2015,1,0,0,20,140,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,7,2015,1,0,0,2,140,1,0,0,0,1,0,0,0,1,0,1,0
0,1,2,7,2015,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2015,1,0,0,10,125,0,1,0,0,0,0,1,1,0,0,0,1
0,4,2,7,2015,1,0,0,200,140,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,7,2015,1,0,0,0,,0,0,0,0,0,0,1,0,0,1,1,0
1,1,1,7,2015,1,0,0,800,130,0,0,0,0,1,0,0,1,0,0,0,0
0,4,3,6,2015,0,1,0,100,143,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2015,1,0,0,75,180,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,6,2015,1,0,0,0,80,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,6,2015,1,0,0,400,136,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2015,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,6,2015,1,0,0,100,143,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2015,1,0,0,50,135,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2015,1,0,0,0,120,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,5,2015,0,1,0,700,111,0,0,0,0,1,0,0,1,0,0,1,0
0,3,2,5,2015,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2015,1,0,0,500,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2015,0,1,0,4500,250,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,4,2015,1,0,0,8000,250,0,0,0,0,1,0,0,1,0,0,0,0
0,4,2,4,2015,0,1,0,4000,240,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2015,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2015,1,0,0,400,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2015,0,1,0,6000,230,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,4,2015,1,0,0,1800,140,1,0,0,0,0,1,0,1,0,0,0,1
0,4,2,3,2015,0,1,0,1200,160,0,0,0,0,1,0,0,1,0,0,0,0
0,1,1,2,2015,1,0,0,10,60,1,0,0,0,0,1,0,1,0,0,1,0
1,4,2,1,2015,1,0,0,400,150,0,0,0,0,0,1,0,0,1,0,0,1
1,4,2,12,2014,0,1,0,3800,230,1,0,0,0,0,1,0,0,1,0,0,0
1,4,2,12,2014,1,0,0,0,,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,12,2014,0,1,0,2,145,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,11,2014,1,0,0,,,0,1,0,0,0,1,0,0,1,0,1,0
0,4,2,11,2014,1,0,0,100,150,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,11,2014,1,0,0,100,160,1,0,0,0,0,1,0,1,0,0,1,0
1,4,2,11,2014,1,0,0,2500,210,1,0,0,0,0,0,1,0,0,1,1,0
0,1,1,10,2014,0,1,0,500,67,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2014,0,1,0,2000,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2014,1,0,0,10,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2014,0,1,0,3000,180,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2014,0,1,0,3000,170,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,9,2014,0,1,0,2500,210,1,0,0,0,1,0,0,1,0,0,0,1
1,1,,9,2014,0,0,0,0,50,1,0,0,0,0,1,0,1,0,0,0,0
0,4,2,9,2014,1,0,0,400,135,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,9,2014,1,0,0,500,136,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2014,0,1,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2014,1,0,0,300,140,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,9,2014,1,0,0,1500,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2014,1,0,0,100,,0,0,0,0,0,1,0,1,0,0,0,1
0,4,2,8,2014,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2014,1,0,0,300,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2014,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2014,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,8,2014,1,0,0,0,100,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,8,2014,1,0,0,20,120,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2014,1,0,0,100,170,1,0,0,0,1,0,0,1,0,0,1,0
0,1,1,6,2014,1,0,0,,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2014,1,0,0,0,130,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,6,2014,1,0,0,1000,140,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2014,1,0,0,0,100,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2014,1,0,0,800,137,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,5,2014,1,0,0,300,112,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2014,1,0,0,0,100,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2014,0,1,0,,,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,3,2014,1,0,0,400,130,1,0,0,0,0,0,0,0,1,0,1,0
0,4,2,11,2013,1,0,0,1500,200,1,0,0,0,1,0,0,1,0,0,0,0
0,4,2,11,2013,0,1,0,600,132,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2013,0,1,0,,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2013,1,0,0,0,90,1,0,0,0,0,0,1,0,1,0,1,0
1,4,2,10,2013,1,0,0,700,155,1,0,0,0,0,0,1,0,1,0,0,1
0,4,2,10,2013,1,0,0,300,145,0,0,0,0,0,1,0,1,0,0,1,0
0,2,2,10,2013,1,0,0,100,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2013,1,0,0,300,135,1,0,0,0,1,0,0,1,0,0,1,0
1,1,1,9,2013,1,0,0,800,110,0,0,0,0,0,1,0,1,0,0,0,0
0,4,2,9,2013,1,0,0,10,155,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,9,2013,1,0,0,4000,200,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2013,1,0,0,1800,200,0,1,0,0,1,0,0,1,0,0,0,1
0,4,2,9,2013,0,1,0,30,170,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,9,2013,1,0,0,0,120,0,0,0,0,0,0,1,1,0,0,1,0
0,4,2,9,2013,0,1,0,1900,200,1,0,0,0,1,0,0,1,0,0,1,0
1,4,2,9,2013,1,0,0,3000,,0,0,0,0,1,0,0,1,0,0,0,0
0,2,2,8,2013,1,0,0,0,120,0,1,0,0,0,1,0,1,0,0,1,0
0,1,1,8,2013,0,1,0,0,30,0,0,0,0,0,1,0,1,0,0,0,0
0,4,2,8,2013,1,0,0,2,136,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,8,2013,0,0,0,300,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2013,0,1,0,2500,195,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2013,1,0,0,500,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2013,1,0,0,0,143,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2013,1,0,0,1000,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2013,1,0,0,50,160,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2013,1,0,0,75,140,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2013,1,0,0,100,136,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2013,1,0,0,30,130,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2013,1,0,0,100,135,0,0,0,0,0,1,0,1,0,0,1,0
1,1,1,6,2013,0,1,0,0,65,1,0,0,0,0,1,0,1,0,0,0,0
0,4,2,6,2013,1,0,0,50,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2013,1,0,0,0,,0,1,0,1,0,0,1,0,0,1,1,0
0,4,2,6,2013,1,0,0,90,145,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2013,1,0,0,0,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2013,1,0,0,800,190,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2013,0,1,0,50,130,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,5,2013,1,0,0,1000,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2013,0,1,0,3000,190,0,1,0,0,1,0,0,1,0,0,1,0
1,2,2,5,2013,0,1,0,1000,100,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,5,2013,0,1,0,950,,0,0,0,0,0,1,0,1,0,0,1,0
