Damage,AC_Mass,Num_ENGS,Month,Year,Day,Night,Dawn,Height,Speed,Sky_NoCloud,Sky_Overcast,Fog,Rain,Seen_1,Seen_2to10,Seen_11to100,Struck_1,Struck_2to10,Struck_11to100,Size_Small,Size_Medium
0,3,2,5,2013,1,0,0,0,,0,1,0,1,1,0,0,1,0,0,1,0
1,1,1,4,2013,1,0,0,2000,150,1,0,0,0,0,1,0,1,0,0,0,0
0,4,2,4,2013,1,0,0,100,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2013,1,0,0,10,135,0,1,0,1,0,1,0,1,0,0,0,1
1,4,2,4,2013,0,1,0,1200,140,1,0,0,0,0,1,0,1,0,0,0,1
1,1,1,3,2013,1,0,0,1400,135,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,3,2013,1,0,0,200,165,0,0,0,0,1,0,0,1,0,0,1,0
0,2,2,3,2013,1,0,0,1600,120,1,0,0,0,0,1,0,1,0,0,0,0
0,2,2,3,2013,0,1,0,700,80,0,1,0,0,0,1,0,1,0,0,0,0
0,1,2,2,2013,0,1,0,1500,110,0,0,0,0,1,0,0,1,0,0,0,0
0,1,1,1,2013,1,0,0,0,50,0,0,0,0,1,0,0,1,0,0,0,0
1,4,2,11,2012,1,0,0,500,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2012,0,0,1,600,277,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,11,2012,0,1,0,1850,200,1,0,0,0,1,0,0,1,0,0,0,1
1,3,2,10,2012,1,0,0,3000,170,0,1,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2012,0,1,0,1000,175,1,0,0,0,1,0,0,1,0,0,1,0
0,2,2,10,2012,0,1,0,300,70,1,0,0,0,1,0,0,1,0,0,1,0
1,4,2,10,2012,1,0,0,1200,145,0,0,0,0,0,1,0,1,0,0,0,0
0,4,2,10,2012,0,1,0,10,150,1,0,0,0,1,0,0,1,0,0,0,1
0,3,2,10,2012,0,0,0,0,75,1,0,0,0,0,0,1,1,0,0,1,0
0,3,2,10,2012,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2012,0,1,0,2500,210,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2012,0,1,0,1350,170,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2012,0,1,0,5700,250,1,0,0,0,1,0,0,1,0,0,0,1
1,4,2,9,2012,1,0,0,2500,220,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2012,1,0,0,200,135,1,0,0,0,1,0,0,1,0,0,1,0
1,1,1,8,2012,1,0,0,0,60,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,100,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,0,110,0,1,0,0,0,1,0,0,1,0,1,0
0,4,2,8,2012,1,0,0,50,148,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,20,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,2300,220,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,200,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,0,120,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,1000,165,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2012,1,0,0,0,120,0,0,0,0,1,0,0,1,0,0,1,0
0,3,2,7,2012,1,0,0,500,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2012,1,0,0,0,130,1,0,0,0,0,1,0,1,0,0,1,0
0,1,1,7,2012,1,0,0,10,65,0,1,1,1,0,0,1,1,0,0,1,0
0,3,2,7,2012,1,0,0,200,120,1,0,0,0,0,0,1,1,0,0,1,0
0,2,2,7,2012,1,0,0,150,110,1,0,0,0,0,0,1,1,0,0,1,0
0,1,1,7,2012,1,0,0,100,90,1,0,0,0,0,0,1,1,0,0,1,0
0,4,2,7,2012,1,0,0,1000,200,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2012,1,0,0,100,140,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2012,1,0,0,200,131,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2012,1,0,0,0,,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,6,2012,1,0,0,0,,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,6,2012,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2012,1,0,0,10,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2012,1,0,0,300,145,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,5,2012,0,0,0,4000,250,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,5,2012,1,0,0,2800,200,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,5,2012,1,0,0,0,95,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,5,2012,0,1,0,1500,150,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2012,1,0,0,2,145,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2012,1,0,0,200,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2012,1,0,0,0,150,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,4,2012,1,0,0,0,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,3,2012,1,0,0,4000,250,0,0,1,0,1,0,0,1,0,0,0,1
1,3,2,3,2012,1,0,0,,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,3,2012,1,0,0,800,135,1,0,0,0,0,1,0,1,0,0,0,0
0,4,2,1,2012,1,0,0,0,100,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,1,2012,1,0,0,0,135,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,12,2011,0,1,0,0,130,1,0,0,0,0,1,0,1,0,0,1,0
1,4,2,11,2011,0,1,0,1900,165,1,0,0,0,0,0,1,0,1,0,0,0
0,1,2,11,2011,1,0,0,0,80,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2011,0,1,0,5300,230,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2011,0,1,0,4000,170,1,0,0,0,1,0,0,1,0,0,1,0
1,4,2,10,2011,1,0,0,2650,210,0,1,0,0,0,1,0,1,0,0,0,0
0,4,2,10,2011,0,1,0,400,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2011,1,0,0,20,130,1,0,0,0,0,1,0,1,0,0,0,1
0,4,2,10,2011,1,0,0,1850,180,0,1,0,0,0,1,0,1,0,0,1,0
0,4,2,10,2011,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2011,0,1,0,500,160,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2011,1,0,0,200,133,0,0,0,0,1,0,0,1,0,0,1,0
1,4,2,9,2011,1,0,0,4000,250,0,1,0,0,0,1,0,1,0,0,0,0
0,4,2,9,2011,1,0,0,200,135,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2011,0,1,0,3000,230,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2011,1,0,0,150,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2011,1,0,0,1000,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2011,1,0,0,0,,0,0,0,0,0,0,1,1,0,0,1,0
0,4,2,8,2011,1,0,0,300,135,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2011,1,0,0,0,160,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,7,2011,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2011,0,1,0,1000,150,1,0,0,0,1,0,0,1,0,0,0,0
0,4,2,7,2011,1,0,0,50,135,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2011,0,1,0,5,130,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2011,1,0,0,0,110,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2011,1,0,0,7,134,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,6,2011,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2011,1,0,0,0,100,0,0,0,0,0,1,0,1,0,0,1,0
1,1,1,6,2011,1,0,0,200,65,0,0,0,0,1,0,0,1,0,0,0,0
0,4,2,6,2011,1,0,0,0,120,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,5,2011,1,0,0,50,155,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,5,2011,1,0,0,200,140,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,5,2011,1,0,0,0,110,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,5,2011,0,1,0,1000,135,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,4,2011,1,0,0,10,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2011,0,1,0,3000,210,1,0,0,0,1,0,0,1,0,0,1,0
0,2,2,4,2011,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2011,1,0,0,0,140,0,0,0,0,1,0,0,1,0,0,1,0
1,2,2,3,2011,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,3,2,3,2011,1,0,0,,,0,0,0,0,0,1,0,0,1,0,0,1
0,4,2,3,2011,1,0,0,0,135,0,1,0,0,0,1,0,1,0,0,1,0
0,4,2,12,2010,1,0,0,100,128,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2010,0,1,0,7500,250,1,0,0,0,1,0,0,1,0,0,0,1
0,2,2,11,2010,0,1,0,3,28,0,0,0,1,0,1,0,1,0,0,0,0
0,4,2,10,2010,1,0,0,200,135,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,10,2010,0,1,0,200,140,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2010,1,0,0,5000,250,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2010,0,0,1,300,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,9,2010,1,0,0,200,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2010,1,0,0,10,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2010,1,0,0,3000,210,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2010,1,0,0,1500,245,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2010,1,0,0,100,134,1,0,0,0,0,1,0,0,1,0,1,0
0,2,2,8,2010,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2010,1,0,0,0,100,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2010,1,0,0,0,120,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,300,135,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,0,1,0,300,170,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,0,100,0,0,0,0,0,1,0,1,0,0,1,0
1,2,2,7,2010,1,0,0,75,85,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,0,100,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,20,135,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,500,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,0,143,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2010,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
1,2,2,6,2010,1,0,0,0,30,1,0,0,0,0,1,0,1,0,0,0,0
0,4,2,5,2010,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2010,1,0,0,4000,250,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2010,0,1,0,3000,220,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,5,2010,1,0,0,100,140,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,5,2010,1,0,0,150,200,0,1,0,1,0,1,0,0,1,0,1,0
0,4,2,5,2010,1,0,0,10,150,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2010,1,0,0,50,145,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2010,1,0,0,1700,160,1,0,0,0,0,1,0,0,1,0,1,0
0,5,4,5,2010,0,1,0,300,145,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2010,1,0,0,100,129,1,0,0,0,1,0,0,1,0,0,0,1
0,2,2,4,2010,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2010,1,0,0,3150,235,0,0,0,0,1,0,0,1,0,0,0,1
0,2,1,3,2010,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,3,2010,1,0,0,5,135,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,3,2010,1,0,0,100,135,1,0,0,0,0,1,0,1,0,0,1,0
0,2,2,3,2010,0,1,0,0,80,1,0,0,0,0,1,0,1,0,0,0,0
0,4,2,3,2010,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,0,0
0,4,2,2,2010,1,0,0,30,125,0,0,0,0,0,1,0,1,0,0,0,1
0,4,2,2,2010,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,0,1
0,4,2,2,2010,1,0,0,0,130,0,0,0,0,0,1,0,1,0,0,0,1
0,4,2,1,2010,1,0,0,0,80,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,1,2010,1,0,0,0,140,0,0,0,0,1,0,0,1,0,0,0,1
1,2,2,12,2009,1,0,0,800,150,1,0,0,0,1,0,0,1,0,0,0,1
1,4,2,12,2009,1,0,0,30,140,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,11,2009,0,0,0,300,135,0,1,0,0,0,0,1,1,0,0,0,1
0,4,2,11,2009,0,1,0,2500,210,1,0,0,0,1,0,0,1,0,0,0,1
0,3,2,10,2009,0,1,0,1500,200,0,0,0,0,1,0,0,1,0,0,0,1
1,4,2,10,2009,0,1,0,6200,250,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2009,0,1,0,2500,170,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,10,2009,0,1,0,5000,250,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2009,0,1,0,3000,190,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,10,2009,1,0,0,75,,0,1,0,1,0,1,0,0,1,0,0,1
0,4,2,9,2009,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2009,1,0,0,2000,165,0,0,0,0,1,0,0,1,0,0,0,1
1,1,2,9,2009,0,1,0,0,50,0,1,0,0,0,1,0,1,0,0,0,0
0,4,2,9,2009,1,0,0,200,132,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2009,1,0,0,100,135,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2009,1,0,0,200,135,0,1,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2009,1,0,0,50,145,1,0,0,0,1,0,0,1,0,0,0,1
0,2,2,8,2009,1,0,0,500,120,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2009,1,0,0,1000,135,0,0,0,0,1,0,0,1,0,0,1,0
0,2,1,8,2009,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,1,0
1,4,2,8,2009,1,0,0,500,135,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2009,1,0,0,0,95,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2009,1,0,0,0,110,0,0,0,0,1,0,0,1,0,0,1,0
0,3,2,8,2009,1,0,0,500,150,1,0,0,0,1,0,0,1,0,0,1,0
0,3,2,8,2009,1,0,0,,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2009,1,0,0,800,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2009,0,1,0,2400,170,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2009,1,0,0,0,95,1,0,0,0,0,1,0,1,0,0,1,0
0,2,1,7,2009,1,0,0,0,80,0,0,0,0,0,1,0,1,0,0,1,0
0,3,2,7,2009,0,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2009,0,1,0,0,130,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2009,1,0,0,100,130,0,0,0,0,1,0,0,0,1,0,0,0
0,4,2,7,2009,1,0,0,100,130,0,0,0,1,1,0,0,1,0,0,1,0
0,4,2,7,2009,1,0,0,0,130,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2009,1,0,0,200,135,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2009,1,0,0,500,145,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2009,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2009,1,0,0,400,135,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2009,1,0,0,300,160,0,1,0,1,1,0,0,1,0,0,1,0
0,4,2,6,2009,1,0,0,0,60,0,0,0,0,1,0,0,0,1,0,1,0
0,4,2,5,2009,1,0,0,30,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2009,1,0,0,0,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2009,0,1,0,3000,220,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2009,1,0,0,50,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2009,0,1,0,2000,180,0,0,0,0,0,1,0,0,1,0,0,1
0,1,2,4,2009,1,0,0,0,100,0,1,0,0,0,0,1,0,1,0,0,1
1,3,2,3,2009,1,0,0,50,140,0,1,0,1,0,0,1,1,0,0,0,1
1,1,1,3,2009,0,1,0,0,40,0,0,0,0,0,1,0,1,0,0,0,0
0,4,2,3,2009,1,0,0,800,145,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,3,2009,1,0,0,1000,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2008,0,0,0,4000,250,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2008,1,0,0,9000,250,1,0,0,0,0,1,0,0,1,0,0,1
0,4,2,10,2008,0,1,0,2850,240,1,0,0,0,1,0,0,1,0,0,0,1
0,1,1,10,2008,0,1,0,0,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2008,0,1,0,8800,245,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2008,0,1,0,1000,130,1,0,0,0,1,0,0,1,0,0,0,1
1,1,1,9,2008,1,0,0,1300,100,1,0,0,0,1,0,0,1,0,0,0,1
0,3,2,9,2008,0,1,0,200,175,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,9,2008,1,0,0,800,136,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2008,1,0,0,300,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2008,0,1,0,4000,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2008,1,0,0,100,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2008,1,0,0,200,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2008,1,0,0,50,130,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,7,2008,1,0,0,10,125,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2008,1,0,0,800,165,1,0,0,0,1,0,0,1,0,0,1,0
0,2,2,7,2008,1,0,0,0,3,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2008,1,0,0,50,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2008,1,0,0,50,145,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2008,1,0,0,100,170,1,0,0,0,0,1,0,0,1,0,1,0
